"","topic","word","freq"
"1",1,"nonexecutive",1.26494986435821
"2",1,"director",1.19234930777725
"3",1,"review",1.07631995414859
"4",1,"board",0.978557134988088
"5",1,"regulations",0.764901361032347
"6",1,"tenure",0.747436822725648
"7",1,"appointments",0.698112214034263
"8",1,"departments",0.685394441344324
"9",1,"post",0.635970556224663
"10",1,"names",0.635970556224663
"11",1,"left",0.578794871726818
"12",1,"length",0.578794871726818
"13",2,"victim",2.25086334893376
"14",2,"right",1.96577478675538
"15",2,"review",1.57407935459398
"16",2,"scheme",1.39868585761792
"17",2,"liaison",1.35670893936957
"18",2,"introduction",1.2963477272646
"19",2,"decision",1.06695577417089
"20",2,"crown",0.778808691823324
"21",2,"service",0.734988912457325
"22",2,"cases",0.696416037112201
"23",2,"units",0.61746375524271
"24",2,"witness",0.609552603787582
"25",3,"visit",1.53833636350127
"26",3,"fifa",1.48759163642821
"27",3,"drink",0.796725552282129
"28",3,"purpose",0.762365891149652
"29",3,"institutions",0.738756238861396
"30",3,"transactions",0.738756238861396
"31",3,"corruption",0.678182018233951
"32",3,"january",0.623765720520901
"33",3,"websites",0.61881035148455
"34",3,"illegal",0.612492252553802
"35",3,"used",0.597385633310278
"36",3,"carried",0.56029596996825
"37",4,"unduly",7.18419275143406
"38",4,"lenient",6.99221637098705
"39",4,"sentence",6.19931843124973
"40",4,"scheme",5.38764786816275
"41",4,"appeal",3.46586682511293
"42",4,"referral",2.04524483557608
"43",4,"extend",1.9090994692253
"44",4,"court",1.68656168032581
"45",4,"felt",1.38506218399741
"46",4,"review",1.30650881301853
"47",4,"scope",1.17488848733527
"48",4,"outside",1.11213844777739
"49",5,"issued",2.26322608737124
"50",5,"victim",1.35625073752723
"51",5,"unsuccessful",1.30062436049768
"52",5,"direction",1.08049624657249
"53",5,"seven",0.958329150283885
"54",5,"prosecutors",0.698517638990173
"55",5,"proportion",0.670628623001979
"56",5,"financial",0.584264152703181
"57",5,"case",0.561626749920189
"58",5,"routinely",0.540239051641968
"59",5,"training",0.499878173319654
"60",5,"fail",0.485471324865568
"61",6,"fees",0.983588205394801
"62",6,"paid",0.696472452505492
"63",6,"2018",0.654132958742195
"64",6,"companies",0.481654659618739
"65",6,"often",0.436436963797255
"66",6,"incorrect",0.407326440236242
"67",6,"reclamation",0.407326440236242
"68",6,"389w",0.393392174351945
"69",6,"2019",0.373021161964034
"70",6,"2021",0.373021161964034
"71",6,"2022",0.373021161964034
"72",6,"contractors",0.366032973723854
"73",7,"contract",2.19264827124216
"74",7,"tender",1.30419711929296
"75",7,"g4s",1.20166172354549
"76",7,"put",1.18810550898431
"77",7,"awarded",1.14231365001887
"78",7,"purchase",1.07421430156865
"79",7,"investigate",1.01606950371343
"80",7,"office",1.00352501991958
"81",7,"representation",0.970439056449115
"82",7,"departmental",0.919494644289292
"83",7,"law",0.856356901412216
"84",7,"serco",0.824629243776927
"85",8,"support",2.930383641181
"86",8,"community",1.60789476581543
"87",8,"victim",1.44036838163833
"88",8,"pcso",1.37441408311142
"89",8,"reversal",1.31815110824998
"90",8,"june",1.29824097441744
"91",8,"review",1.03955668212198
