"","member","word","freq"
"1","Allen, Graham","gravesend",0.314169869957526
"2","Allen, Graham","july",0.314169869957526
"3","Allen, Graham","kendall",0.314169869957526
"4","Allen, Graham","proctor",0.314169869957526
"5","Allen, Graham","professor",0.314169869957526
"6","Allen, Graham","report",0.314169869957526
"7","Allen, Graham","respond",0.314169869957526
"8","Allen, Graham","sue",0.314169869957526
"9","Allen, Graham","published",0.268441603296222
"10","Allen, Graham","2016",0.222713336634918
"11","Allen, Graham","abuse",0.222713336634918
"12","Allen, Graham","house",0.185794395468751
"13","Bayley, Sir Hugh","invited",0.407800710512094
"14","Bayley, Sir Hugh","king",0.407800710512094
"15","Bayley, Sir Hugh","leicester",0.407800710512094
"16","Bayley, Sir Hugh","reburial",0.407800710512094
"17","Bayley, Sir Hugh","richard",0.407800710512094
"18","Bayley, Sir Hugh","service",0.289087737574954
"19","Bayley, Sir Hugh","cathedral",0.241165986068508
"20","Bayley, Sir Hugh","banbury",0.139297966477657
"21","Bayley, Sir Hugh","england",0.08571670002474
"22","Bayley, Sir Hugh","right",0.00297885021627022
"23","Bayley, Sir Hugh","church",0
"24","Bayley, Sir Hugh","commissioners",0
"25","Bottomley, Sir Peter","london",0.821325785363816
"26","Bottomley, Sir Peter","ordain",0.821325785363816
"27","Bottomley, Sir Peter","priest",0.821325785363816
"28","Bottomley, Sir Peter","bishop",0.568457816898738
"29","Bottomley, Sir Peter","woman",0.472334916000172
"30","Bottomley, Sir Peter","next",0.408440475313921
"31","Bottomley, Sir Peter","nominee",0.408440475313921
"32","Bottomley, Sir Peter","men",0.348990869363644
"33","Bottomley, Sir Peter","women",0.314215079200082
"34","Bottomley, Sir Peter","will",0.147318935321186
"35","Bottomley, Sir Peter","meriden",0.0463391911559077
"36","Bottomley, Sir Peter","right",0.00702151542352357
"37","Bradshaw, Ben","2013",0.694935396771907
"38","Bradshaw, Ben","televisions",0.637031935187408
"39","Bradshaw, Ben","2014",0.591335807000593
"40","Bradshaw, Ben","criminal",0.554264042756759
"41","Bradshaw, Ben","sanctions",0.554264042756759
"42","Bradshaw, Ben","banbury",0.504266252532885
"43","Bradshaw, Ben","spent",0.490071508740776
"44","Bradshaw, Ben","rise",0.426568401441293
"45","Bradshaw, Ben","blackberry",0.412660525393038
"46","Bradshaw, Ben","laptops",0.412660525393038
"47","Bradshaw, Ben","lost",0.412660525393038
"48","Bradshaw, Ben","mobile",0.412660525393038
"49","Brock, Deidre","austerity",0.399865350884959
"50","Brock, Deidre","deprivation",0.399865350884959
"51","Brock, Deidre","indices",0.399865350884959
"52","Brock, Deidre","measured",0.399865350884959
"53","Brock, Deidre","areas",0.341663877279755
"54","Brock, Deidre","english",0.307618197733998
"55","Brock, Deidre","2015",0.26472571415719
"56","Brock, Deidre","communities",0.225260930069347
"57","Brock, Deidre","will",0.144226004337423
"58","Brock, Deidre","england",0.0840487459893155
"59","Brock, Deidre","meriden",0.0192766719400171
"60","Brock, Deidre","right",0.00292088502118316
"61","Brown, Alan","membership",0.60653973307408
"62","Brown, Alan","reducing",0.518256249179086
"63","Brown, Alan","lords",0.466613721667494
"64","Brown, Alan","house",0.358696660025074
"65","Brown, Alan","england",0.127490175992361
"66","Brown, Alan","meriden",0.0292400114868126
"67","Brown, Alan","right",0.00443057348471838
"68","Brown, Alan","church",0
"69","Brown, Alan","commissioners",0
"70","Brown, Alan","educ",0
"71","Brown, Alan","member",0
"72","Brown, Alan","priority",0
"73","Chishti, Rehman","priority",0.473363627997807
"74","Chishti, Rehman","studies",0.473363627997807
"75","Chishti, Rehman","religious",0.404464283156838
"76","Chishti, Rehman","education",0.364160750100615
"77","Chishti, Rehman","remains",0.364160750100615
"78","Chishti, Rehman","schools",0.335564938315868
"79","Chishti, Rehman","england",0.099497541465189
"80","Chishti, Rehman","meriden",0.0228198701014113
"81","Chishti, Rehman","right",0.00345776578923813
"82","Chishti, Rehman","church",0
"83","Chishti, Rehman","commissioners",0
"84","Chishti, Rehman","member",0
"85","Colvile, Oliver","domestic",0.50238231182741
"86","Colvile, Oliver","violence",0.429259219774464
"87","Colvile, Oliver","affected",0.429259219774464
"88","Colvile, Oliver","abuse",0.356136127721518
"89","Colvile, Oliver","provides",0.313361860933763
"90","Colvile, Oliver","people",0.283013035668572
"91","Colvile, Oliver","support",0.249417975126923
"92","Colvile, Oliver","england",0.105597054665672
"93","Colvile, Oliver","meriden",0.0242188001339243
"94","Colvile, Oliver","right",0.00366973774115832
"95","Colvile, Oliver","church",0
"96","Colvile, Oliver","commissioners",0
"97","Cooper, Rosie","fracking",0.573224396536674
"98","Cooper, Rosie","rt",0.573224396536674
"99","Cooper, Rosie","owned",0.489790049171861
"100","Cooper, Rosie","land",0.296061493946912
"101","Cooper, Rosie","england",0.12048753809942
"102","Cooper, Rosie","meriden",0.0276339488170125
"103","Cooper, Rosie","church",0
"104","Cooper, Rosie","commissioners",0
"105","Cooper, Rosie","educ",0
"106","Cooper, Rosie","member",0
"107","Cooper, Rosie","priority",0
"108","Cooper, Rosie","religy",0
"109","Cox, Geoffrey","cornwall",0.443609353869096
"110","Cox, Geoffrey","devon",0.443609353869096
"111","Cox, Geoffrey","given",0.379040823379787
"112","Cox, Geoffrey","grants",0.34127065431687
"113","Cox, Geoffrey","roof",0.293685868880378
"114","Cox, Geoffrey","five",0.276702123827561
"115","Cox, Geoffrey","fund",0.262342571989907
"116","Cox, Geoffrey","years",0.238931954764644
"117","Cox, Geoffrey","repair",0.238931954764644
"118","Cox, Geoffrey","meriden",0.0213854787996315
"119","Cox, Geoffrey","right",0.00324042059184509
"120","Cox, Geoffrey","church",0
"121","Dakin, Nic","landfill",0.417032060208161
"122","Dakin, Nic","restoration",0.356331926047969
"123","Dakin, Nic","potential",0.356331926047969
"124","Dakin, Nic","listed",0.356331926047969
"125","Dakin, Nic","properties",0.320824623775514
"126","Dakin, Nic","proposed",0.295631791887778
"127","Dakin, Nic","buildings",0.260124489615322
"128","Dakin, Nic","fund",0.24662523980399
"129","Dakin, Nic","communities",0.234931657727586
"130","Dakin, Nic","repair",0.224617187342867
"131","Dakin, Nic","made",0.142451242593561
"132","Dakin, Nic","meriden",0.0201042430791034
"133","Debbonaire, Thangam","classes",0.460364541779951
"134","Debbonaire, Thangam","yoga",0.460364541779951
"135","Debbonaire, Thangam","premises",0.393357248780247
"136","Debbonaire, Thangam","guidance",0.354160495100585
"137","Debbonaire, Thangam","allowing",0.326349955780544
"138","Debbonaire, Thangam","issued",0.326349955780544
"139","Debbonaire, Thangam","used",0.287153202100882
"140","Debbonaire, Thangam","meriden",0.0221932113524423
"141","Debbonaire, Thangam","right",0.00336281173498268
"142","Debbonaire, Thangam","church",0
"143","Debbonaire, Thangam","commissioners",0
"144","Debbonaire, Thangam","educ",0
"145","Dugher, Michael","barnsley",0.284912852018357
"146","Dugher, Michael","constituency",0.284912852018357
"147","Dugher, Michael","east",0.284912852018357
"148","Dugher, Michael","humber",0.284912852018357
"149","Dugher, Michael","south",0.284912852018357
"150","Dugher, Michael","yorkshire",0.284912852018357
"151","Dugher, Michael","13",0.243443022737499
"152","Dugher, Michael","14",0.243443022737499
"153","Dugher, Michael","2011",0.243443022737499
"154","Dugher, Michael","11",0.219184727696888
"155","Dugher, Michael","banks",0.219184727696888
"156","Dugher, Michael","food",0.219184727696888
"157","Fabricant, Michael","appropriateness",0.402063462947355
"158","Fabricant, Michael","dean",0.402063462947355
"159","Fabricant, Michael","practice",0.402063462947355
"160","Fabricant, Michael","procedures",0.402063462947355
"161","Fabricant, Michael","relating",0.343542048239733
"162","Fabricant, Michael","standing",0.343542048239733
"163","Fabricant, Michael","cathedral",0.237773081322138
"164","Fabricant, Michael","peterborough",0.185508495601464
"165","Fabricant, Michael","made",0.137338217761321
"166","Fabricant, Michael","england",0.0845107729240811
"167","Fabricant, Michael","meriden",0.019382638323502
"168","Fabricant, Michael","right",0.00293694150765723
"169","Field, Frank","bell",0.677508036549286
"170","Field, Frank","george",0.677508036549286
"171","Field, Frank","consultation",0.54865329089828
"172","Field, Frank","child",0.511517516491017
"173","Field, Frank","allegations",0.484278527345324
"174","Field, Frank","abuse",0.424381956619481
"175","Field, Frank","demolition",0.357363826593125
"176","Field, Frank","eastbourne",0.357363826593125
"177","Field, Frank","elisabeths",0.357363826593125
"178","Field, Frank","extend",0.357363826593125
"179","Field, Frank","balance",0.313902078216412
"180","Field, Frank","charge",0.313902078216412
"181","Foster, Kevin","homelessness",0.532574311101041
"182","Foster, Kevin","tackling",0.532574311101041
"183","Foster, Kevin","projects",0.45505669262833
"184","Foster, Kevin","local",0.377539074155619
"185","Foster, Kevin","support",0.264407410755082
"186","Foster, Kevin","england",0.111943190114125
"187","Foster, Kevin","meriden",0.0256742932491017
"188","Foster, Kevin","right",0.00389028037692996
"189","Foster, Kevin","church",0
"190","Foster, Kevin","commissioners",0
"191","Foster, Kevin","educ",0
"192","Foster, Kevin","member",0
"193","George, Andrew","parochial",0.881005585865124
"194","George, Andrew","councils",0.775191081135168
"195","George, Andrew","liability",0.74139610435926
"196","George, Andrew","channel",0.603877492222638
"197","George, Andrew","recovery",0.56608260790023
"198","George, Andrew","repair",0.519069595433109
"199","George, Andrew","court",0.476940307469597
"200","George, Andrew","recover",0.476940307469597
"201","George, Andrew","banbury",0.424515711375166
"202","George, Andrew","benefit",0.405536875548332
"203","George, Andrew","registered",0.405536875548332
"204","George, Andrew","entitlement",0.346509896326635
"205","Goodman, Helen","sale",0.877708366435254
"206","Goodman, Helen","binchester",0.760771155291063
"207","Goodman, Helen","auckland",0.752741062881449
"208","Goodman, Helen","reasons",0.687045168580536
"209","Goodman, Helen","land",0.684739124724887
"210","Goodman, Helen","near",0.624513755237288
"211","Goodman, Helen","banbury",0.605058599577144
"212","Goodman, Helen","bishop",0.52098880726858
"213","Goodman, Helen","owned",0.448052875009069
"214","Goodman, Helen","fort",0.445565666742938
"215","Goodman, Helen","roman",0.445565666742938
"216","Goodman, Helen","divided",0.444800699686054
"217","Gray, James","likely",0.340644202910757
"218","Gray, James","wholly",0.340644202910757
"219","Gray, James","worship",0.340644202910757
"220","Gray, James","applications",0.291062526127314
