"","topic","word","freq"
"1",1,"ministers",2.47770884526041
"2",1,"official",1.51767643331546
"3",1,"farage",1.32495002210885
"4",1,"mep",1.32495002210885
"5",1,"nigel",1.32495002210885
"6",1,"flights",0.916779790540469
"7",1,"prime",0.904468497432807
"8",1,"charities",0.808374020612669
"9",1,"representatives",0.724415616980977
"10",1,"club",0.708899558230419
"11",1,"duties",0.687615809765704
"12",1,"three",0.645550098156279
"13",2,"next",5.69933240362994
"14",2,"envoy",2.71842214767208
"15",2,"year",1.78617135417381
"16",2,"three",1.77801056088146
"17",2,"estimate",1.5019416960094
"18",2,"board",1.47541012258584
"19",2,"budget",1.31595464075093
"20",2,"will",1.27434513334209
"21",2,"made",1.13167531007912
"22",2,"meet",1.08419429087181
"23",2,"appoint",1.08027713360943
"24",2,"months",0.994844384485677
"25",3,"control",2.75789868962288
"26",3,"joint",1.87915276559263
"27",3,"unit",1.8666509798281
"28",3,"2010",1.85906333435769
"29",3,"export",1.48961086533383
"30",3,"strategic",1.24531515108034
"31",3,"year",1.24019692592682
"32",3,"organisation",1.15166269086912
"33",3,"lets",1.05562172113406
"34",3,"estate",0.944219081029781
"35",3,"currently",0.839166877834759
"36",3,"fees",0.789955263187288
"37",4,"remedies",2.1257712924063
"38",4,"board",1.78857141249984
"39",4,"authority",1.61979498147693
"40",4,"members",1.58647976451683
"41",4,"liberalisation",1.49315643697835
"42",4,"nonexecutive",1.48042379388321
"43",4,"communications",1.06932732606898
"44",4,"staff",1.04460312441706
"45",4,"full",0.976442695987737
"46",4,"within",0.936385702474475
"47",4,"measures",0.931693913493887
"48",4,"agricultural",0.923626216346094
"49",5,"commonwealth",7.04247301734709
"50",5,"employed",4.08818925320727
"51",5,"countries",3.84696036810798
"52",5,"concluded",2.82402445209027
"53",5,"future",2.77826418357838
"54",5,"investment",1.74987748928106
"55",5,"negotiate",1.58961786263801
"56",5,"counterparts",1.46703369528439
"57",5,"uk",1.3354473668505
"58",5,"people",1.24175339130789
"59",5,"representatives",1.2128411534248
"60",5,"deals",1.1976200509138
"61",6,"commissioners",2.13761451856321
"62",6,"held",1.68080050579575
"63",6,"fighter",1.29207494638732
"64",6,"tf",1.29207494638732
"65",6,"meeting",1.06987181317674
"66",6,"counterpart",0.904365976950384
"67",6,"appointing",0.815092140095853
"68",6,"aircraft",0.761101225541952
"69",6,"britannic",0.734872261498921
"70",6,"nine",0.734872261498921
"71",6,"programme",0.701691389373961
"72",6,"document",0.697480569858229
"73",7,"18",2.47336648976899
"74",7,"budget",2.3105737480949
"75",7,"2017",1.82487810376285
"76",7,"deloitte",1.71869122948814
"77",7,"consumer",1.18223722661892
"78",7,"electronics",1.18223722661892
"79",7,"show",1.14891721242182
"80",7,"las",0.977907911801748
"81",7,"vegas",0.977907911801748
"82",7,"training",0.965966583774234
"83",7,"january",0.887457300618165
"84",7,"july",0.772623310702525
"85",8,"territories",2.03309874493907
"86",8,"palestinian",1.92616214440335
"87",8,"midlands",1.67023308069882
"88",8,"lanka",1.26918003975558
"89",8,"sri",1.26918003975558
"90",8,"occupied",1.25804966153926
"91",8,"temporary",1.23717153931188
"92",8,"west",0.937382937907153
"93",8,"israel",0.888003614727863
"94",8,"business",0.802621192079834
"95",8,"companies",0.775952096586069
"96",8,"governed",0.770460312495605
"97",9,"provide",2.03836226787826
"98",9,"assist",1.5861885392164
"99",9,"private",1.26447502870017
"100",9,"chemring",0.816798834383474
"101",9,"subsidiaries",0.816798834383474
"102",9,"export",0.708933398487045
"103",9,"support",0.694420771369934
"104",9,"ways",0.685293178152243
"105",9,"subcontracted",0.605117012879303
"106",9,"iranian",0.602464344626334
"107",9,"advice",0.588224856568515
"108",9,"first",0.526344628044203
"109",10,"small",3.15100149357486
"110",10,"medium",2.25749702012602
"111",10,"sized",1.90396231916051
"112",10,"enterprises",1.48779723364103
"113",10,"saturday",1.15326332741633
"114",10,"business",1.02217211177124
"115",10,"support",0.801711909326083
"116",10,"export",0.710722635816191
"117",10,"help",0.559930930637135
"118",10,"110835",0.521593799479362
"119",10,"easier",0.518397652940706
"120",10,"routes",0.476060615434564
"121",11,"six",2.16508983283338
"122",11,"months",2.14717267559609
"123",11,"money",1.4006377514063
"124",11,"alliance",1.3710999028782
"125",11,"inward",0.928926395335961
"126",11,"ukti",0.817417200541505
"127",11,"level",0.76278713199209
"128",11,"two",0.743215111263084
"129",11,"one",0.708075014621074
"130",11,"overall",0.684587004024184
"131",11,"events",0.658525056701613
"132",11,"procure",0.656657814265103
"133",12,"pool",1.05905173849732
"134",12,"delegates",0.937927604113602
"135",12,"led",0.66756562699465
"136",12,"holds",0.609447308446947
"137",12,"redeployment",0.607935911482739
"138",12,"friday",0.543282548295207
"139",12,"bonds",0.528918089733311
"140",12,"burntisland",0.528918089733311
"141",12,"fabrications",0.528918089733311
"142",12,"car",0.509148604909225
"143",12,"countries",0.486348556970265
"144",12,"position",0.469787411472523
"145",13,"license",2.99243912593814
"146",13,"arms",2.12200193817824
"147",13,"export",1.67428960497777
"148",13,"2000",1.43282375339632
"149",13,"granted",1.36439885904416
"150",13,"consolidated",1.15483536995409
"151",13,"five",1.06051587091375
"152",13,"criteria",1.04717508421495
"153",13,"year",0.999528826222819
"154",13,"arabia",0.863975380570534
"155",13,"saudi",0.854092934989013
"156",13,"instance",0.832056370124864
"157",14,"steel",3.70164655883072
"158",14,"office",1.46693878140497
"159",14,"industry",1.28767124662116
"160",14,"importance",1.12372313815787
"161",14,"chinese",1.09350888712842
"162",14,"china",0.960817494503678
"163",14,"dumping",0.931022734913848
"164",14,"status",0.892580443549238
"165",14,"permanent",0.8866184797333
"166",14,"escort",0.865043472070263
"167",14,"will",0.752172877441862
"168",14,"avoid",0.73470786231733
"169",15,"responses",3.49345314007597
"170",15,"submitted",1.11840459370119
"171",15,"120867",0.88989790001482
"172",15,"list",0.812195094625092
"173",15,"relating",0.793592756309869
"174",15,"ultimate",0.783992658298265
"175",15,"manner",0.733570219514295
"176",15,"relationships",0.642237502040605
"177",15,"organisations",0.603203274278318
"178",15,"carers",0.585893006964368
"179",15,"carers",0.585893006964368
"180",15,"2018",0.577924493715757
"181",16,"existing",2.01297428880789
