"","topic","word","freq"
"1",1,"behaviour",2.72998747311246
"2",1,"antisocial",1.38585145700995
"3",1,"insights",1.35015918889688
"4",1,"2014",0.864837900243242
"5",1,"team",0.823160885270307
"6",1,"policing",0.709051832553681
"7",1,"crime",0.685414833739934
"8",1,"marriage",0.656088091829697
"9",1,"prevent",0.583102331697352
"10",1,"injunctions",0.533182429406414
"11",1,"act",0.524708380993891
"12",1,"force",0.497124269051584
"13",2,"leeds",3.01263626689897
"14",2,"wakefield",2.49415378345625
"15",2,"hm",1.06292938137789
"16",2,"calculate",0.885286591725331
"17",2,"books",0.826385679925367
"18",2,"thames",0.708374682571512
"19",2,"libraries",0.597079131973403
"20",2,"liverpool",0.575906186562935
"21",2,"kingston",0.509878005820162
"22",2,"release",0.506543938243585
"23",2,"pilot",0.503422422253122
"24",2,"spent",0.493397156110222
"25",3,"chichester",3.43841572550901
"26",3,"combined",2.5591618229432
"27",3,"freehold",1.6059308326132
"28",3,"centre",1.28230587840369
"29",3,"court",0.949970740251277
"30",3,"value",0.701015599009134
"31",3,"crown",0.61449810869058
"32",3,"closure",0.59526349255573
"33",3,"growth",0.519612737822612
"34",3,"provision",0.505757087644053
"35",3,"demand",0.485761993407647
"36",3,"constabulary",0.471359449316267
"37",4,"british",2.43650852170839
"38",4,"foreign",1.19372085346993
"39",4,"westminster",0.888453833724688
"40",4,"language",0.765524188581076
"41",4,"sign",0.717910846796632
"42",4,"nationals",0.666696580910675
"43",4,"detaining",0.609327410828921
"44",4,"guards",0.591422046701689
"45",4,"approximately",0.490428655700638
"46",4,"nonbritish",0.490428655700638
"47",4,"payroll",0.485615597099108
"48",4,"bsl",0.455617366563043
"49",5,"1999",5.17891742887178
"50",5,"evidence",3.67787355407296
"51",5,"youth",3.4661332044003
"52",5,"41",2.73671612336479
"53",5,"criminal",2.68470167704918
"54",5,"act",2.47043185392667
"55",5,"section",2.07207104233014
"56",5,"28",1.9375002591162
"57",5,"subsection",1.71831697822387
"58",5,"evaluating",1.60613368352325
"59",5,"history",1.50303487036876
"60",5,"pilots",1.46566211388419
"61",6,"calculate",3.50250299355012
"62",6,"formula",1.23172339438003
"63",6,"deductions",1.14046935214409
"64",6,"changing",0.79484077404673
"65",6,"currently",0.7538299898428
"66",6,"awards",0.715199886191142
"67",6,"accidents",0.659490803204842
"68",6,"injury",0.626167815843831
"69",6,"helplines",0.616146175116213
"70",6,"annual",0.60175075675927
"71",6,"employed",0.581619366944253
"72",6,"weighted",0.534365982508646
"73",7,"region",3.12502683220628
"74",7,"probation",0.932394253057431
"75",7,"national",0.888088629657827
"76",7,"provide",0.884759174131727
"77",7,"service",0.809369371289923
"78",7,"england",0.80808260610813
"79",7,"aid",0.667457192591444
"80",7,"47082",0.60667012829321
"81",7,"legal",0.584975986201737
"82",7,"handled",0.573785032473668
"83",7,"vacancies",0.535229616974846
"84",7,"month",0.513943820284537
"85",8,"food",2.46837300932532
"86",8,"day",1.0957749943493
"87",8,"per",1.0381900556419
"88",8,"inmate",0.958197306119843
"89",8,"rural",0.940895020468897
"90",8,"environment",0.887524058459617
"91",8,"affairs",0.796285796274462
"92",8,"welfare",0.624111377858565
"93",8,"animal",0.592472386241995
"94",8,"cost",0.525443650845331
"95",8,"ministers",0.455629534021819
"96",8,"2010",0.408868571707348
"97",9,"restraint",5.10856154587031
"98",9,"physical",2.00632249120554
"99",9,"minimising",1.95000469551395
"100",9,"sustained",1.87296329005634
"101",9,"techniques",1.70819167580294
"102",9,"institution",1.64767090259827
"103",9,"children",1.57294910910897
"104",9,"use",1.4340666633795
"105",9,"custodial",1.20741411846597
"106",9,"injuries",1.09246953883414
"107",9,"managing",1.08637492480305
"108",9,"trained",0.900219365046786
"109",10,"wait",4.04612269335473
"110",10,"time",2.29920956537315
"111",10,"average",2.00326238703772
"112",10,"appeal",1.91423781795007
"113",10,"heard",1.69745759482901
"114",10,"tribunal",1.04016728484073
"115",10,"barnsley",1.03883557893569
"116",10,"independence",0.923292304483178
"117",10,"person",0.909954246689164
"118",10,"heard",0.894350932945438
"119",10,"payment",0.891017505021327
"120",10,"immigration",0.76154975865122
"121",11,"panel",2.00490483052865
"122",11,"experience",1.20195955602708
"123",11,"member",1.19707153868226
"124",11,"direct",1.13148259091939
"125",11,"appeal",0.718739470547805
"126",11,"remove",0.637453529290441
