"","member","word","freq"
"1","Abbott, Diane","hackney",2.20956398284149
"2","Abbott, Diane","hate",2.19778106285682
"3","Abbott, Diane","islamophobic",1.72763541257102
"4","Abbott, Diane","homophobic",1.5860853288621
"5","Abbott, Diane","england",1.53511543525134
"6","Abbott, Diane","will",1.4736452045076
"7","Abbott, Diane","crime",1.31244075724015
"8","Abbott, Diane","greater",1.21640534097779
"9","Abbott, Diane","london",1.17659969985575
"10","Abbott, Diane","2010",1.13903704479795
"11","Abbott, Diane","adviser",1.12230477786585
"12","Abbott, Diane","eu",1.05973929624289
"13","Abrahams, Debbie","school",1.59755838731809
"14","Abrahams, Debbie","prevent",1.3439531726634
"15","Abrahams, Debbie","colleges",1.14722806162742
"16","Abrahams, Debbie","universities",1.11965886989918
"17","Abrahams, Debbie","knowledge",1.05301821127903
"18","Abrahams, Debbie","strategy",1.04824150513035
"19","Abrahams, Debbie","life",0.858313611340338
"20","Abrahams, Debbie","programme",0.83201284083724
"21","Abrahams, Debbie","obligations",0.778425411358051
"22","Abrahams, Debbie","financial",0.776285134376512
"23","Abrahams, Debbie","funding",0.75802744301596
"24","Abrahams, Debbie","allocated",0.715080666053026
"25","Adams, Nigel","takes",0.346222752483006
"26","Adams, Nigel","statutory",0.344856503552044
"27","Adams, Nigel","young",0.315303299395804
"28","Adams, Nigel","safeguarding",0.295355090182908
"29","Adams, Nigel","exploitation",0.292380272617566
"30","Adams, Nigel","bodies",0.275670329664822
"31","Adams, Nigel","legislation",0.264336889141674
"32","Adams, Nigel","follow",0.259361288435528
"33","Adams, Nigel","guidance",0.245627048018984
"34","Adams, Nigel","sexual",0.236005652805384
"35","Adams, Nigel","agencies",0.226860534456937
"36","Adams, Nigel","relating",0.210256260912697
"37","Afriyie, Adam","investor",1.2421046576594
"38","Afriyie, Adam","warrant",1.05332386695678
"39","Afriyie, Adam","14",0.957691761725691
"40","Afriyie, Adam","arrest",0.894980779432065
"41","Afriyie, Adam","universal",0.87003177397243
"42","Afriyie, Adam","european",0.828501838035492
"43","Afriyie, Adam","investment",0.804174192225482
"44","Afriyie, Adam","citizens",0.786016647391938
"45","Afriyie, Adam","tier",0.776054864102197
"46","Afriyie, Adam","2013",0.748703665763386
"47","Afriyie, Adam","foreign",0.725503615439504
"48","Afriyie, Adam","13",0.608991590441414
"49","Ahmed-Sheikh, Tasmina","forum",1.18941439438554
"50","Ahmed-Sheikh, Tasmina","engagement",1.0702245435879
"51","Ahmed-Sheikh, Tasmina","extremism",0.948865452556099
"52","Ahmed-Sheikh, Tasmina","community",0.815442293196247
"53","Ahmed-Sheikh, Tasmina","meeting",0.812193128671006
"54","Ahmed-Sheikh, Tasmina","article",0.704902409042774
"55","Ahmed-Sheikh, Tasmina","convention",0.658294317368315
"56","Ahmed-Sheikh, Tasmina","attend",0.624025026545524
"57","Ahmed-Sheikh, Tasmina","visa",0.567904680431044
"58","Ahmed-Sheikh, Tasmina","human",0.523360033413182
"59","Ahmed-Sheikh, Tasmina","uk",0.517627732726186
"60","Ahmed-Sheikh, Tasmina","18865",0.512403498238183
"61","Ainsworth, Bob","domestic",1.20430835803881
"62","Ainsworth, Bob","violence",1.1813531246507
"63","Ainsworth, Bob","sexual",1.14011866959465
"64","Ainsworth, Bob","coventry",0.857712436747313
"65","Ainsworth, Bob","service",0.720877001888309
"66","Ainsworth, Bob","renewal",0.704570712429753
"67","Ainsworth, Bob","passport",0.663618783960864
"68","Ainsworth, Bob","proportion",0.649535832616296
"69","Ainsworth, Bob","standard",0.64122435968306
"70","Ainsworth, Bob","midlands",0.625228926727848
"71","Ainsworth, Bob","six",0.616379780552675
"72","Ainsworth, Bob","support",0.601575706715108
"73","Alexander, Heidi","recourse",1.82114901219993
"74","Alexander, Heidi","2010",1.38828893140071
"75","Alexander, Heidi","funding",1.37237102936576
"76","Alexander, Heidi","settlement",1.22775617688496
"77","Alexander, Heidi","subsequently",1.11816782914019
"78","Alexander, Heidi","limited",1.1036497180341
"79","Alexander, Heidi","public",0.995590696540268
"80","Alexander, Heidi","applicants",0.992200369130595
"81","Alexander, Heidi","lift",0.991777405776451
"82","Alexander, Heidi","tuition",0.948286686985795
"83","Alexander, Heidi","visitors",0.947184073512279
"84","Alexander, Heidi","remain",0.862324727259503
"85","Ali, Rushanara","bethnal",1.71520527969517
"86","Ali, Rushanara","bow",1.71520527969517
"87","Ali, Rushanara","green",1.54112520303243
